sub,horizon,VaR_99,ES_975,mean_PnL,std_PnL
total,1,5786367.75020254,6407759.47475092,937.8908284041876,2436852.933194849
bonds,1,1070831.7674518612,1149152.8537441383,-25070.87347502112,400396.3573110512
stocks,1,405551.5186698308,427594.423337149,329.33583682570935,158988.82378882804
fx,1,5755980.859821,6402613.988044082,25679.4284665996,2426123.8296890585
