,RatePC1,RatePC2,RatePC3,ST_GAZP,ST_GMKN,ST_LKOH,ST_MGNT,ST_NVTK,ST_PLZL,ST_ROSN,ST_SBER,ST_SNGS,ST_TATN,FX_USD,FX_EUR
RatePC1,1.0000000000000002,0.04931475301518384,-0.17946143072846849,0.1717598425472971,0.13682973893766823,0.12048625286418936,0.13755365221830987,0.1338011885585808,0.11697979125212221,0.17374446628107637,0.1655803084735959,0.13597057684403596,0.14714234442593413,-0.06605041377111882,-0.05604767971173985
RatePC2,0.04931475301518386,1.0,0.029208945087370694,-0.14604393836342722,-0.17629087702834667,-0.14693450869292518,-0.2074892653196058,-0.15794458419074167,-0.11370601210303977,-0.18118519185026286,-0.18707587638273415,-0.1524529726324449,-0.17215666600447121,0.10027511847399274,0.07911175007039824
RatePC3,-0.17946143072846849,0.029208945087370666,1.0,-0.005213751427260309,-0.008963369519850235,-0.016822029892622343,-0.01049329250442944,-0.006139878300443045,0.060163634596489234,-0.04405669015575954,-0.03425983174494876,-0.014906283005237955,1.9914672173638892e-05,-0.0330475968592137,-0.04491877707130153
ST_GAZP,0.17175984254729706,-0.1460439383634272,-0.0052137514272603035,1.0000000000000002,0.571462336621285,0.5720198977151718,0.4972189269337601,0.5765140859793682,0.32888269283156074,0.5892515203816876,0.6091275963480374,0.5667467720591434,0.5978723541971036,-0.011638204141698815,-0.0279705187779886
ST_GMKN,0.1368297389376682,-0.17629087702834664,-0.008963369519850238,0.571462336621285,1.0,0.5141581448786208,0.47423859952447117,0.5619529877176066,0.3816707257139009,0.5340821335190977,0.557066674890656,0.5395696967421949,0.524663038011483,0.04223625958733599,0.0280489784517926
ST_LKOH,0.12048625286418936,-0.14693450869292515,-0.016822029892622336,0.5720198977151718,0.5141581448786208,1.0000000000000002,0.5032896116504926,0.5987065472099835,0.3187302057099942,0.6633153499533637,0.5652862265684078,0.5483113707793086,0.6204204187591518,0.05165397749693656,0.03156262535621221
ST_MGNT,0.13755365221830984,-0.2074892653196058,-0.01049329250442944,0.4972189269337601,0.4742385995244711,0.5032896116504925,1.0,0.47989663783539144,0.3388882990815528,0.5168376017761678,0.5297880592853729,0.4994830315309889,0.5058087780533227,-0.010479800895970998,-0.03135225697719086
ST_NVTK,0.1338011885585808,-0.15794458419074167,-0.006139878300443045,0.5765140859793683,0.5619529877176066,0.5987065472099836,0.4798966378353915,1.0000000000000002,0.3212832219052385,0.6299155540613166,0.6051098094896019,0.5745809571555959,0.5778292645887831,0.017649096944890363,-0.007282173211902633
ST_PLZL,0.1169797912521222,-0.11370601210303977,0.06016363459648926,0.32888269283156074,0.3816707257139009,0.3187302057099942,0.3388882990815528,0.3212832219052385,1.0000000000000002,0.3560826822700644,0.341114858536416,0.3560813218141765,0.3320720911323568,0.016828144591000557,0.032696113736548994
ST_ROSN,0.17374446628107634,-0.18118519185026286,-0.04405669015575953,0.5892515203816877,0.5340821335190978,0.6633153499533637,0.5168376017761678,0.6299155540613166,0.3560826822700644,1.0000000000000002,0.6050335969154784,0.6008250968155507,0.6651691107064697,0.0484402872801419,0.020547972594497064
ST_SBER,0.1655803084735959,-0.18707587638273412,-0.03425983174494876,0.6091275963480374,0.557066674890656,0.5652862265684078,0.5297880592853729,0.6051098094896018,0.341114858536416,0.6050335969154783,1.0000000000000002,0.5917988311104412,0.5653605740533507,-0.05493867722821649,-0.056247957038040336
ST_SNGS,0.13597057684403593,-0.1524529726324449,-0.014906283005237952,0.5667467720591434,0.539569696742195,0.5483113707793087,0.49948303153098894,0.5745809571555959,0.3560813218141765,0.6008250968155507,0.5917988311104413,1.0,0.5984929131929605,0.04731307247846782,0.029162282775930345
ST_TATN,0.14714234442593413,-0.1721566660044712,1.9914672173640346e-05,0.5978723541971037,0.524663038011483,0.6204204187591518,0.5058087780533228,0.577829264588783,0.3320720911323568,0.6651691107064696,0.5653605740533507,0.5984929131929605,1.0000000000000002,0.008550970151802274,-0.019604093991372
FX_USD,-0.06605041377111882,0.10027511847399273,-0.03304759685921369,-0.01163820414169881,0.04223625958733599,0.05165397749693656,-0.010479800895970994,0.01764909694489036,0.01682814459100056,0.0484402872801419,-0.05493867722821649,0.04731307247846782,0.008550970151802275,1.0,0.8298181173437653
FX_EUR,-0.05604767971173986,0.07911175007039824,-0.044918777071301534,-0.0279705187779886,0.028048978451792602,0.031562625356212216,-0.03135225697719086,-0.00728217321190263,0.03269611373654899,0.020547972594497067,-0.056247957038040336,0.029162282775930345,-0.019604093991372,0.8298181173437653,1.0000000000000002
