factor,ex_kurtosis,hill_alpha
RatePC1,151.25635866057556,1.9898730928066577
RatePC2,7.816114951284954,2.789358635984072
RatePC3,10.497030004892782,2.4878051433514528
ST_GAZP,46.64236742455367,2.1009897673930604
ST_GMKN,5.085637381868979,3.9243834665490858
ST_LKOH,24.871671242757166,2.9423460707960074
ST_MGNT,40.27641518509333,2.8248274067981853
ST_NVTK,20.707024677653784,3.2316183794815565
ST_PLZL,24.848709071677295,3.2722150707894446
ST_ROSN,106.73280210014511,2.5790479388707834
ST_SBER,111.30117786952118,2.631070937731862
ST_SNGS,35.714294475590684,2.6635513460550504
ST_TATN,48.466369708566376,2.7842134402279277
FX_USD,48.69143064299019,1.9769469948396088
FX_EUR,37.59344168896962,2.123221406758874
