,RatePC1,RatePC2,RatePC3,ST_GAZP,ST_GMKN,ST_LKOH,ST_MGNT,ST_NVTK,ST_PLZL,ST_ROSN,ST_SBER,ST_SNGS,ST_TATN,FX_USD,FX_EUR
RatePC1,1.0,2.6412761596969657e-16,-2.4161271268152897e-16,0.31700636810579946,0.24904621422945408,0.3289049055043068,0.3697904655819643,0.3375103903785992,0.31257210444448946,0.476560415974245,0.4359999830248343,0.34156566994079357,0.3931476397469794,-0.12287062437411563,-0.11799563252162595
RatePC2,2.6412761596969657e-16,1.0,-4.29563917937352e-16,-0.1450206100509695,-0.14983964921564172,-0.1260041782085868,-0.19565022385239833,-0.14460316076598118,-0.09688145184104376,-0.15947788975534,-0.14959118286255113,-0.13201923208676355,-0.14007910710992014,0.09787052871619627,0.08643842260488535
RatePC3,-2.4161271268152897e-16,-4.29563917937352e-16,1.0,0.06565006321552372,0.026708514778000073,0.054352160129953093,0.042574131491109245,0.07130392679914233,0.10994730497650777,0.07806235418695583,0.0712340307280566,0.056431330645534135,0.09646914670297155,-0.050438462424035116,-0.05169778398111738
ST_GAZP,0.31700636810579946,-0.1450206100509695,0.06565006321552372,1.0,0.5412707232285514,0.5765299667145121,0.5206418497719317,0.5588128883292868,0.41597846043098385,0.6199845402601657,0.6225487223329593,0.5386103399559296,0.6135068729701334,-0.06387610920047472,-0.05823805218449685
ST_GMKN,0.24904621422945408,-0.14983964921564172,0.026708514778000073,0.5412707232285514,1.0,0.5374257867386134,0.5304608736493115,0.603861505066581,0.4485615590863358,0.5805353993426505,0.5664599500861215,0.5478073719071741,0.5799269486753806,0.01526356968937892,0.009646855201890748
ST_LKOH,0.3289049055043068,-0.1260041782085868,0.054352160129953093,0.5765299667145121,0.5374257867386134,1.0,0.5664278973541983,0.6352869474334785,0.42545823812170486,0.7051739630529317,0.6285819198520954,0.556389903507806,0.6650675675650325,-0.020086999844285875,-0.017195372318713983
ST_MGNT,0.3697904655819643,-0.19565022385239833,0.042574131491109245,0.5206418497719317,0.5304608736493115,0.5664278973541983,1.0,0.541671914340527,0.45167312953167355,0.6414061141119192,0.6322269414220262,0.5727401601567096,0.5983794345241851,-0.07464449437290721,-0.07360009926623806
ST_NVTK,0.3375103903785992,-0.14460316076598118,0.07130392679914233,0.5588128883292868,0.603861505066581,0.6352869474334785,0.541671914340527,1.0,0.4246300238006126,0.7001064919831674,0.6553730295917277,0.5957803498916716,0.6680999230071109,-0.04843045036180344,-0.055459200039702984
ST_PLZL,0.31257210444448946,-0.09688145184104376,0.10994730497650777,0.41597846043098385,0.4485615590863358,0.42545823812170486,0.45167312953167355,0.4246300238006126,1.0,0.5243660613972222,0.45739007145724236,0.470568173771603,0.47833381097159267,-0.03197809474889133,-0.018810090152190973
ST_ROSN,0.476560415974245,-0.15947788975534,0.07806235418695583,0.6199845402601657,0.5805353993426505,0.7051739630529317,0.6414061141119192,0.7001064919831674,0.5243660613972222,1.0,0.7342876570427501,0.6747582728690141,0.7619195549526074,-0.04241612441996286,-0.03940160295806647
ST_SBER,0.4359999830248343,-0.14959118286255113,0.0712340307280566,0.6225487223329593,0.5664599500861215,0.6285819198520954,0.6322269414220262,0.6553730295917277,0.45739007145724236,0.7342876570427501,1.0,0.659329197617067,0.6632612145754608,-0.10745150289339271,-0.09665478977677512
ST_SNGS,0.34156566994079357,-0.13201923208676355,0.056431330645534135,0.5386103399559296,0.5478073719071741,0.556389903507806,0.5727401601567096,0.5957803498916716,0.470568173771603,0.6747582728690141,0.659329197617067,1.0,0.6404838109890136,0.006147970207748118,0.0059561828691647115
ST_TATN,0.3931476397469794,-0.14007910710992014,0.09646914670297155,0.6135068729701334,0.5799269486753806,0.6650675675650325,0.5983794345241851,0.6680999230071109,0.47833381097159267,0.7619195549526074,0.6632612145754608,0.6404838109890136,1.0,-0.051740664418773466,-0.06153491553809993
FX_USD,-0.12287062437411563,0.09787052871619627,-0.050438462424035116,-0.06387610920047472,0.01526356968937892,-0.020086999844285875,-0.07464449437290721,-0.04843045036180344,-0.03197809474889133,-0.04241612441996286,-0.10745150289339271,0.006147970207748118,-0.051740664418773466,1.0,0.897399850234949
FX_EUR,-0.11799563252162595,0.08643842260488535,-0.05169778398111738,-0.05823805218449685,0.009646855201890748,-0.017195372318713983,-0.07360009926623806,-0.055459200039702984,-0.018810090152190973,-0.03940160295806647,-0.09665478977677512,0.0059561828691647115,-0.06153491553809993,0.897399850234949,1.0
