sub,n_days,breaches,breach_rate,expected_rate,expected_breaches
total,254,1,0.003937007874015748,0.010000000000000009,2.5400000000000023
bonds,254,3,0.011811023622047244,0.010000000000000009,2.5400000000000023
stocks,254,2,0.007874015748031496,0.010000000000000009,2.5400000000000023
fx,254,2,0.007874015748031496,0.010000000000000009,2.5400000000000023
