series,trend_slope_per_day,trend_R2,trend_p
rate_5y,8.575554280422876e-05,0.791720027079842,0.0
USDRUB,0.016244179182688785,0.24980774158844077,2.80092463805949e-81
EURRUB,0.015463842437979405,0.18313174741565816,9.499178054691264e-58
