sub,horizon,VaR_99,ES_975,mean_PnL,std_PnL
total,10,16754885.87083398,17557287.09650292,18133.947636114648,6981392.803368583
bonds,10,3356712.6269557117,3475993.4672595495,-237045.27861505543,1294268.420625223
stocks,10,1187796.2351253189,1201293.3773941349,4756.517027423298,499563.0041373978
fx,10,16653911.800335318,17354436.64360487,250422.7092237468,6927649.89972371
