date,SECID,model,market,err_rub,err_pct_face
2021-01-04,SU26218RMFS6,1204.109074258776,1224.02,-19.91092574122399,-1.991092574122399
2021-01-04,SU26224RMFS4,1068.0414175331375,1081.5700000000002,-13.528582466862645,-1.3528582466862644
2021-01-04,SU26230RMFS1,1140.8497174054505,1167.7499999999998,-26.900282594549253,-2.6900282594549254
2021-01-04,SU26231RMFS9,226.21842323632333,,,
2021-01-04,SU26233RMFS5,992.8686233509848,1007.91,-15.041376649015206,-1.5041376649015206
2021-04-05,SU26218RMFS6,1093.2559542121496,1109.8500000000001,-16.59404578785052,-1.659404578785052
2021-04-05,SU26224RMFS4,1009.0992959704297,1021.14,-12.040704029570293,-1.2040704029570293
2021-04-05,SU26230RMFS1,1031.2001705870516,1096.1399999999999,-64.93982941294826,-6.493982941294826
2021-04-05,SU26231RMFS9,202.43149934166973,,,
2021-04-05,SU26233RMFS5,900.4737190233591,920.41,-19.936280976640887,-1.9936280976640888
2021-07-02,SU26218RMFS6,1110.5359776341445,1126.4,-15.86402236585559,-1.586402236585559
2021-07-02,SU26224RMFS4,986.8359801598665,1002.68,-15.844019840133456,-1.5844019840133456
2021-07-02,SU26230RMFS1,1055.8769147994274,1075.7900000000002,-19.913085200572823,-1.9913085200572822
2021-07-02,SU26231RMFS9,215.24677727073797,,,
2021-07-02,SU26233RMFS5,920.2240554580839,938.2499999999999,-18.025944541916033,-1.8025944541916032
2021-09-29,SU26218RMFS6,1072.1341018726823,1094.01,-21.87589812731767,-2.187589812731767
2021-09-29,SU26224RMFS4,993.7907837935406,1008.7099999999999,-14.919216206459282,-1.4919216206459283
2021-09-29,SU26230RMFS1,1002.6862960080548,1065.8800000000003,-63.19370399194554,-6.319370399194554
2021-09-29,SU26231RMFS9,194.23504529852926,,,
2021-09-29,SU26233RMFS5,883.4422349406174,901.36,-17.917765059382646,-1.7917765059382647
2021-12-28,SU26218RMFS6,1013.7740832542988,1038.84,-25.065916745701088,-2.506591674570109
2021-12-28,SU26224RMFS4,912.079165815012,929.5400000000001,-17.46083418498813,-1.746083418498813
2021-12-28,SU26230RMFS1,937.8821151487364,967.51,-29.627884851263616,-2.9627884851263615
2021-12-28,SU26231RMFS9,174.7372532504849,,,
2021-12-28,SU26233RMFS5,826.3760440828987,852.4,-26.02395591710126,-2.6023955917101262
2022-03-30,SU26218RMFS6,790.2725078416739,835.5,-45.22749215832607,-4.522749215832607
2022-03-30,SU26224RMFS4,764.6253715249409,787.73,-23.104628475059144,-2.310462847505914
2022-03-30,SU26230RMFS1,687.4414850746472,761.4,-73.9585149253528,-7.39585149253528
2022-03-30,SU26231RMFS9,98.38854404844655,,,
2022-03-30,SU26233RMFS5,616.3900981957589,651.85,-35.4599018042411,-3.54599018042411
2022-07-04,SU26218RMFS6,986.1783489233364,1018.01,-31.831651076663547,-3.1831651076663547
2022-07-04,SU26224RMFS4,896.6608882006551,916.4000000000001,-19.739111799344983,-1.9739111799344982
2022-07-04,SU26230RMFS1,899.3073435839406,923.91,-24.602656416059403,-2.46026564160594
2022-07-04,SU26231RMFS9,163.43215583976985,,,
2022-07-04,SU26233RMFS5,798.5184719939598,824.03,-25.51152800604018,-2.5511528006040183
2022-09-29,SU26218RMFS6,878.9267660067736,919.86,-40.933233993226395,-4.09332339932264
2022-09-29,SU26224RMFS4,853.3325742496562,876.9000000000001,-23.567425750343887,-2.3567425750343887
2022-09-29,SU26230RMFS1,760.2203982764992,823.4,-63.17960172350081,-6.31796017235008
2022-09-29,SU26231RMFS9,113.88013352601267,,,
2022-09-29,SU26233RMFS5,687.3140761095167,709.55,-22.235923890483264,-2.2235923890483265
2022-12-28,SU26218RMFS6,928.5398950020079,952.6800000000001,-24.140104997992125,-2.4140104997992125
2022-12-28,SU26224RMFS4,869.5402714897007,886.39,-16.849728510299315,-1.6849728510299316
2022-12-28,SU26230RMFS1,798.5090589871849,835.72,-37.21094101281517,-3.721094101281517
2022-12-28,SU26231RMFS9,117.54877522897388,,,
2022-12-28,SU26233RMFS5,723.0604975060245,754.56,-31.499502493975456,-3.1499502493975458
2023-03-30,SU26218RMFS6,891.5474630527822,915.0799999999999,-23.53253694721775,-2.353253694721775
2023-03-30,SU26224RMFS4,880.3060418575037,890.7000000000002,-10.393958142496444,-1.0393958142496444
2023-03-30,SU26230RMFS1,753.4559283505898,830.5500000000001,-77.09407164941024,-7.709407164941023
2023-03-30,SU26231RMFS9,108.64411696356916,,,
2023-03-30,SU26233RMFS5,688.612704310902,716.39,-27.77729568909797,-2.777729568909797
2023-06-30,SU26218RMFS6,902.109229805818,932.6500000000001,-30.540770194182073,-3.0540770194182074
2023-06-30,SU26224RMFS4,858.5891147730202,879.07,-20.480885226979808,-2.048088522697981
2023-06-30,SU26230RMFS1,755.4982815648639,793.14,-37.64171843513611,-3.764171843513611
2023-06-30,SU26231RMFS9,104.30645374890604,,,
